Designator,Val,Package,Mid X, Mid Y,Rotation,Layer
"C1","100n","C_0402_1005Metric",131.100000,-46.100000,-90.000000,top
"C2","100n","C_0402_1005Metric",132.150000,-46.100000,-90.000000,top
"R1","10k","R_0402_1005Metric",124.450000,-41.000000,90.000000,top
"R6","5.1k","R_0402_1005Metric",142.500000,-38.300000,180.000000,top
"R7","5.1k","R_0402_1005Metric",146.550000,-38.750000,-90.000000,top
"SW5","SW_Push","C318884",119.000000,-41.000000,0.000000,top
"U1","~","TSSOP-20",129.000000,-41.000000,180.000000,top
"USB1","HRO-TYPE-C-31-M-12","HRO-TYPE-C-31-M-12-Assembly",145.000000,-33.784000,180.000000,top
